run,norm_condition,span_condition,document,caption_count,label,match,refclash,missing,refonly,reftotal,hypclash,spurious,hyponly,hyptotal,precision,recall,fmeasure,norm_match,norm_missing,norm_spurious,norm_precision_micro,norm_recall_micro,norm_fmeasure_micro,norm_precision_macro,norm_recall_macro,norm_fmeasure_macro
system1,any,strict,4772851,39,small_molecule,0,0,17,17,17,0,0,0,0,1.0,0.0,0.0,0,13,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4772851,39,tissue_or_organ,0,0,63,63,63,0,0,0,0,1.0,0.0,0.0,0,45,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4734838,2,organism_or_species,0,0,1,1,1,0,0,0,0,1.0,0.0,0.0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,5130292,54,cell_type_or_line,0,0,58,58,58,0,0,0,0,1.0,0.0,0.0,0,15,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,5130292,54,cellular_component,0,0,11,11,11,0,0,0,0,1.0,0.0,0.0,0,9,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,5130292,54,gene_or_protein,0,0,138,138,138,0,0,0,0,1.0,0.0,0.0,0,63,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,5130292,54,organism_or_species,0,0,4,4,4,0,0,0,0,1.0,0.0,0.0,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,5130292,54,small_molecule,0,0,37,37,37,0,0,0,0,1.0,0.0,0.0,0,24,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,5130292,54,tissue_or_organ,0,0,19,19,19,0,0,0,0,1.0,0.0,0.0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4339125,18,cell_type_or_line,0,0,15,15,15,0,0,0,0,1.0,0.0,0.0,0,15,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4339125,18,cellular_component,0,0,35,35,35,0,0,0,0,1.0,0.0,0.0,0,14,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4339125,18,gene_or_protein,0,0,43,43,43,0,0,0,0,1.0,0.0,0.0,0,23,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4339125,18,organism_or_species,0,0,15,15,15,0,0,0,0,1.0,0.0,0.0,0,15,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4339125,18,small_molecule,0,0,17,17,17,0,0,0,0,1.0,0.0,0.0,0,17,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4339119,33,gene_or_protein,0,0,176,176,176,0,0,0,0,1.0,0.0,0.0,0,79,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4339119,33,organism_or_species,0,0,4,4,4,0,0,0,0,1.0,0.0,0.0,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4339119,33,small_molecule,0,0,13,13,13,0,0,0,0,1.0,0.0,0.0,0,10,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,5207321,31,cell_type_or_line,0,0,42,42,42,0,0,0,0,1.0,0.0,0.0,0,19,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,5207321,31,cellular_component,0,0,1,1,1,0,0,0,0,1.0,0.0,0.0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,5207321,31,gene_or_protein,0,0,124,124,124,0,0,0,0,1.0,0.0,0.0,0,56,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,5207321,31,organism_or_species,0,0,9,9,9,0,0,0,0,1.0,0.0,0.0,0,8,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,5207321,31,small_molecule,0,0,5,5,5,0,0,0,0,1.0,0.0,0.0,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,5207321,31,tissue_or_organ,0,0,138,138,138,0,0,0,0,1.0,0.0,0.0,0,72,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4931181,13,cellular_component,0,0,6,6,6,0,0,0,0,1.0,0.0,0.0,0,5,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4931181,13,gene_or_protein,0,0,58,58,58,0,0,0,0,1.0,0.0,0.0,0,29,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4931181,13,organism_or_species,0,0,1,1,1,0,0,0,0,1.0,0.0,0.0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4931181,13,small_molecule,0,0,13,13,13,0,0,0,0,1.0,0.0,0.0,0,6,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4364949,25,cell_type_or_line,0,0,26,26,26,0,0,0,0,1.0,0.0,0.0,0,20,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4364949,25,gene_or_protein,0,0,65,65,65,0,0,0,0,1.0,0.0,0.0,0,46,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4364949,25,organism_or_species,0,0,22,22,22,0,0,0,0,1.0,0.0,0.0,0,15,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4364949,25,small_molecule,0,0,11,11,11,0,0,0,0,1.0,0.0,0.0,0,9,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4364949,25,tissue_or_organ,0,0,21,21,21,0,0,0,0,1.0,0.0,0.0,0,10,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4888855,24,cell_type_or_line,0,0,3,3,3,0,0,0,0,1.0,0.0,0.0,0,3,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4888855,24,cellular_component,0,0,4,4,4,0,0,0,0,1.0,0.0,0.0,0,4,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4888855,24,gene_or_protein,0,0,92,92,92,0,0,0,0,1.0,0.0,0.0,0,46,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4888855,24,organism_or_species,0,0,60,60,60,0,0,0,0,1.0,0.0,0.0,0,31,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4888855,24,small_molecule,0,0,45,45,45,0,0,0,0,1.0,0.0,0.0,0,33,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4888855,24,tissue_or_organ,0,0,34,34,34,0,0,0,0,1.0,0.0,0.0,0,23,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,2982760,29,cell_type_or_line,0,0,28,28,28,0,0,0,0,1.0,0.0,0.0,0,21,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,2982760,29,cellular_component,0,0,49,49,49,0,0,0,0,1.0,0.0,0.0,0,22,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,2982760,29,gene_or_protein,0,0,59,59,59,0,0,0,0,1.0,0.0,0.0,0,28,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,2982760,29,organism_or_species,0,0,68,68,68,0,0,0,0,1.0,0.0,0.0,0,24,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,2982760,29,small_molecule,0,0,71,71,71,0,0,0,0,1.0,0.0,0.0,0,38,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4369316,23,cell_type_or_line,0,0,7,7,7,0,0,0,0,1.0,0.0,0.0,0,6,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4369316,23,cellular_component,0,0,6,6,6,0,0,0,0,1.0,0.0,0.0,0,5,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4369316,23,gene_or_protein,0,0,99,99,99,0,0,0,0,1.0,0.0,0.0,0,45,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4369316,23,organism_or_species,0,0,10,10,10,0,0,0,0,1.0,0.0,0.0,0,9,0,1.0,0.0,0.0,1.0,0.0,0.0
system1,any,strict,4369316,23,small_molecule,0,0,25,25,25,0,0,0,0,1.0,0.0,0.0,0,8,0,1.0,0.0,0.0,1.0,0.0,0.0
